step,reward,cumulative_reward,main_agent_type,main_agent_energy,main_agent_sensor_flag,main_agent_target_detected,prey_population,predator_population,total_alive,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
26,39.980000000000004,1039.4800000000002,PREY,100.0,0,1,30,11,41,100.0,70.00727272727268,100.0,100.0,38.280000000000086,81.57999999999988,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
27,39.980000000000004,1079.4600000000003,PREY,100.0,0,1,30,11,41,100.0,69.75090909090905,100.0,100.0,37.86000000000009,81.45999999999988,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
28,39.980000000000004,1119.4400000000003,PREY,100.0,0,1,30,11,41,100.0,69.4945454545454,100.0,100.0,37.4400000000001,81.33999999999988,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
29,39.980000000000004,1159.4200000000003,PREY,100.0,0,1,30,11,41,100.0,69.23818181818177,100.0,100.0,37.0200000000001,81.21999999999987,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
30,39.980000000000004,1199.4000000000003,PREY,100.0,0,1,30,11,41,100.0,69.00909090909086,100.0,100.0,36.60000000000011,81.09999999999987,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
31,39.980000000000004,1239.3800000000003,PREY,100.0,0,1,30,11,41,100.0,68.80727272727266,100.0,100.0,36.18000000000011,80.97999999999986,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
32,39.980000000000004,1279.3600000000004,PREY,100.0,0,1,30,11,41,100.0,68.60545454545449,100.0,100.0,35.76000000000012,80.85999999999986,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
33,39.980000000000004,1319.3400000000004,PREY,100.0,0,1,30,11,41,100.0,68.37636363636356,100.0,100.0,35.340000000000124,80.73999999999985,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
34,39.980000000000004,1359.3200000000004,PREY,100.0,0,1,30,11,41,100.0,68.20181818181813,100.0,100.0,35.22000000000013,80.61999999999985,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
35,39.980000000000004,1399.3000000000004,PREY,100.0,0,1,30,11,41,100.0,68.02727272727266,100.0,100.0,35.10000000000013,80.49999999999984,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
36,39.980000000000004,1439.2800000000004,PREY,100.0,0,1,30,11,41,100.0,67.87999999999994,100.0,100.0,34.98000000000013,80.37999999999984,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
37,39.980000000000004,1479.2600000000004,PREY,100.0,0,1,30,11,41,100.0,67.7327272727272,100.0,100.0,34.860000000000134,80.25999999999983,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
38,39.980000000000004,1519.2400000000005,PREY,100.0,0,1,30,11,41,100.0,67.55818181818175,100.0,100.0,34.74000000000014,80.13999999999983,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
39,39.980000000000004,1559.2200000000005,PREY,100.0,0,1,30,11,41,100.0,67.410909090909,100.0,100.0,34.62000000000014,80.01999999999983,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
40,39.980000000000004,1599.2000000000005,PREY,100.0,0,1,30,11,41,100.0,67.2636363636363,100.0,100.0,34.50000000000014,79.89999999999982,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
41,39.980000000000004,1639.1800000000005,PREY,100.0,0,1,30,11,41,100.0,67.08909090909081,100.0,100.0,34.380000000000145,79.47999999999982,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
42,39.980000000000004,1679.1600000000005,PREY,100.0,0,1,30,11,41,100.0,66.91454545454538,100.0,100.0,34.26000000000015,79.05999999999982,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
43,39.980000000000004,1719.1400000000006,PREY,100.0,0,1,30,11,41,100.0,66.73999999999991,100.0,100.0,34.14000000000015,78.93999999999981,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
44,39.980000000000004,1759.1200000000006,PREY,100.0,0,1,30,11,41,100.0,66.56545454545447,100.0,100.0,34.02000000000015,78.81999999999981,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
45,39.980000000000004,1799.1000000000006,PREY,100.0,0,1,30,11,41,100.0,66.390909090909,100.0,100.0,33.900000000000155,78.6999999999998,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
46,39.980000000000004,1839.0800000000006,PREY,100.0,0,1,30,11,41,100.0,66.21636363636357,100.0,100.0,33.78000000000016,78.5799999999998,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
47,39.980000000000004,1879.0600000000006,PREY,100.0,0,1,30,11,41,100.0,66.04181818181809,100.0,100.0,33.66000000000016,78.4599999999998,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
48,39.980000000000004,1919.0400000000006,PREY,100.0,0,1,30,11,41,100.0,65.86727272727263,100.0,100.0,33.54000000000016,78.33999999999979,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
49,39.980000000000004,1959.0200000000007,PREY,100.0,0,1,30,11,41,100.0,65.69272727272718,100.0,100.0,33.420000000000165,78.21999999999979,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
50,39.980000000000004,1999.0000000000007,PREY,100.0,0,1,30,11,41,100.0,65.51818181818172,100.0,100.0,33.30000000000017,78.09999999999978,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
51,39.980000000000004,2038.9800000000007,PREY,100.0,0,1,30,11,41,100.0,65.34363636363626,100.0,100.0,33.18000000000017,77.97999999999978,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
52,39.980000000000004,2078.9600000000005,PREY,100.0,0,1,30,11,41,100.0,65.16909090909081,100.0,100.0,33.06000000000017,77.85999999999977,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
53,39.980000000000004,2118.9400000000005,PREY,100.0,0,1,30,11,41,100.0,64.99454545454533,100.0,100.0,32.940000000000175,77.73999999999977,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
54,39.980000000000004,2158.9200000000005,PREY,100.0,0,1,30,11,41,100.0,64.8199999999999,100.0,100.0,32.82000000000018,77.61999999999976,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
55,39.980000000000004,2198.9000000000005,PREY,100.0,0,1,30,11,41,100.0,64.64545454545443,100.0,100.0,32.70000000000018,77.49999999999976,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
56,39.980000000000004,2238.8800000000006,PREY,100.0,0,1,30,11,41,100.0,64.47090909090898,100.0,100.0,32.58000000000018,77.37999999999975,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
57,39.980000000000004,2278.8600000000006,PREY,100.0,0,1,29,11,40,100.0,66.56909090909079,100.0,100.0,32.460000000000186,84.76000000000006,0,1,2,1,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
58,39.980000000000004,2318.8400000000006,PREY,100.0,0,1,29,11,40,100.0,66.3672727272726,100.0,100.0,32.34000000000019,84.34000000000006,0,1,2,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
59,39.980000000000004,2358.8200000000006,PREY,100.0,0,1,29,11,40,100.0,66.16545454545442,100.0,100.0,32.22000000000019,83.92000000000006,0,1,2,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
60,39.980000000000004,2398.8000000000006,PREY,100.0,0,1,29,11,40,100.0,65.96363636363625,100.0,100.0,32.10000000000019,83.50000000000006,0,1,2,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
61,39.980000000000004,2438.7800000000007,PREY,100.0,0,1,29,11,40,100.0,65.76181818181807,100.0,100.0,31.980000000000192,83.08000000000006,0,1,2,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
62,39.980000000000004,2478.7600000000007,PREY,100.0,0,1,29,11,40,100.0,65.55999999999989,100.0,100.0,31.86000000000019,82.66000000000005,0,1,2,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
63,39.980000000000004,2518.7400000000007,PREY,100.0,0,1,29,11,40,100.0,65.3581818181817,100.0,100.0,31.74000000000019,82.24000000000005,0,1,2,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
64,39.980000000000004,2558.7200000000007,PREY,100.0,0,1,29,11,40,100.0,65.15636363636351,100.0,100.0,31.62000000000019,81.82000000000005,0,1,2,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
65,39.980000000000004,2598.7000000000007,PREY,100.0,0,1,29,11,40,100.0,64.95454545454531,100.0,100.0,31.50000000000019,81.40000000000005,0,1,2,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
