episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy,coexistence_score
130,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
131,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
132,-2.299999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
133,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
134,-2.389999999999993,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
135,30.099999999999955,79,0.0,PREDATOR_WIN,0,1,0.0,81.7099999999999,0.0
136,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
137,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
138,-2.239999999999996,350,0.0,PREY_WIN,1,0,98.64999999999995,0.0,0.0
139,-2.4199999999999924,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
140,-2.3199999999999945,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
141,-2.389999999999993,350,0.0,PREY_WIN,1,0,99.06999999999996,0.0,0.0
142,-2.3299999999999943,350,0.0,PREY_WIN,1,0,99.88,0.0,0.0
143,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
144,-2.249999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
145,-2.1699999999999977,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
146,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
147,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
148,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
149,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
150,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
151,30.019999999999985,171,0.0,PREDATOR_WIN,0,1,0.0,43.010000000000254,0.0
152,-2.4099999999999926,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
153,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
154,-2.1399999999999983,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
155,-2.289999999999995,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
156,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
157,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
158,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.88,0.0,0.0
159,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
160,-2.1699999999999977,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
161,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
162,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
163,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
164,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
165,-2.4599999999999915,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
166,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
167,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
168,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
169,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
170,-2.1699999999999977,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
171,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
172,-2.249999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
173,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
174,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
175,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
176,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
177,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
178,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
179,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
180,-2.339999999999994,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
181,-2.2199999999999966,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
182,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
183,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
184,-2.149999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
