episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy
231,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
232,-2.199999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
233,-2.289999999999995,350,0.0,PREY_WIN,2,0,85.0,0.0
234,14.896666666666595,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
235,-2.199999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
236,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
237,-2.1699999999999977,350,0.0,PREY_WIN,2,0,85.0,0.0
238,-2.3099999999999947,350,0.0,PREY_WIN,2,0,84.865,0.0
239,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
240,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.865,0.0
241,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
242,-2.2199999999999966,350,0.0,PREY_WIN,2,0,84.865,0.0
243,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
244,-2.239999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
245,25.256666666666664,76,0.0,PREDATOR_WIN,1,1,70.0,81.07999999999998
246,-2.3299999999999943,350,0.0,PREY_WIN,2,0,85.0,0.0
247,-2.1699999999999977,350,0.0,PREY_WIN,2,0,85.0,0.0
248,-2.2699999999999956,350,0.0,PREY_WIN,2,0,84.94,0.0
249,-2.2199999999999966,350,0.0,PREY_WIN,2,0,85.0,0.0
250,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.865,0.0
251,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.94,0.0
252,-2.199999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
253,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
254,-2.3099999999999947,350,0.0,PREY_WIN,2,0,85.0,0.0
255,-2.239999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
256,-2.209999999999997,350,0.0,PREY_WIN,2,0,84.865,0.0
