episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy,coexistence_score
160,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
161,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
162,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.60999999999999,0.0,0.0
163,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
164,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
165,-2.3599999999999937,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
166,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.48999999999998,0.0,0.0
167,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.09999999999997,0.0,0.0
168,-2.1899999999999973,350,0.0,PREY_WIN,1,0,97.2999999999999,0.0,0.0
169,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
170,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
171,-2.249999999999996,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
172,-2.149999999999998,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
173,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
174,29.512499999999953,131,0.0,PREDATOR_WIN,0,1,0.0,59.80250000000022,0.0
175,-2.249999999999996,350,0.0,PREY_WIN,1,0,99.06999999999996,0.0,0.0
176,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
177,-2.339999999999994,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
178,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
179,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
180,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
181,-2.3099999999999947,350,0.0,PREY_WIN,1,0,98.28999999999994,0.0,0.0
182,29.41249999999995,138,0.0,PREDATOR_WIN,0,1,0.0,54.43250000000026,0.0
183,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.21999999999997,0.0,0.0
184,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
185,30.529999999999976,93,0.0,PREDATOR_WIN,0,1,0.0,76.4,0.0
186,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
187,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
188,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
189,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.06999999999996,0.0,0.0
190,-2.1799999999999975,350,0.0,PREY_WIN,1,0,99.51999999999998,0.0,0.0
191,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
192,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.60999999999999,0.0,0.0
193,30.199999999999996,180,0.0,PREDATOR_WIN,0,1,0.0,40.40000000000025,0.0
194,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
195,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
196,-2.109999999999999,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
197,-2.4099999999999926,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
198,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
199,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
200,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
201,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
202,-2.159999999999998,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
203,-2.1899999999999973,350,0.0,PREY_WIN,1,0,98.64999999999995,0.0,0.0
204,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
205,-2.299999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
206,-2.1799999999999975,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
207,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
208,-2.1699999999999977,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
209,-2.109999999999999,350,0.0,PREY_WIN,1,0,99.88,0.0,0.0
210,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
211,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
212,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
213,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
214,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
215,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
216,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
217,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
218,-2.3099999999999947,350,0.0,PREY_WIN,1,0,98.94999999999996,0.0,0.0
219,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
220,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
221,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
222,-2.2799999999999954,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
223,-2.249999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
224,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
225,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
226,-2.289999999999995,350,0.0,PREY_WIN,1,0,91.02999999999966,0.0,0.0
227,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
228,-2.299999999999995,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
229,29.999999999999975,143,0.0,PREDATOR_WIN,0,1,0.0,58.970000000000255,0.0
230,-2.1199999999999988,350,0.0,PREY_WIN,1,0,99.60999999999999,0.0,0.0
231,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
232,-2.2199999999999966,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
233,-2.239999999999996,350,0.0,PREY_WIN,1,0,98.64999999999995,0.0,0.0
234,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
235,-2.1399999999999983,350,0.0,PREY_WIN,1,0,98.37999999999994,0.0,0.0
236,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
237,-2.299999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
238,-2.199999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
239,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
240,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
241,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
242,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
243,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
244,-2.2199999999999966,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
245,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.06999999999996,0.0,0.0
246,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
247,-2.3199999999999945,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
248,-2.199999999999997,350,0.0,PREY_WIN,1,0,98.10999999999993,0.0,0.0
249,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
250,-2.1199999999999988,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
251,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
252,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
253,29.022499999999965,210,0.0,PREDATOR_WIN,0,1,0.0,28.72250000000021,0.0
254,-2.2799999999999954,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
255,-2.199999999999997,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
256,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
257,-2.2199999999999966,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
258,-2.349999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
259,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
260,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
261,-2.149999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
262,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
263,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.33999999999997,0.0,0.0
264,-2.299999999999995,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
265,30.97,103,0.0,PREDATOR_WIN,0,1,0.0,74.54000000000005,0.0
266,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
267,-2.2799999999999954,350,0.0,PREY_WIN,1,0,98.82999999999996,0.0,0.0
268,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
269,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
270,-2.259999999999996,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
271,29.979999999999997,202,0.0,PREDATOR_WIN,0,1,0.0,34.76000000000025,0.0
272,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
273,-2.389999999999993,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
274,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
275,-2.1799999999999975,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
276,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
277,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
278,-2.289999999999995,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
279,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
280,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
281,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
282,-2.1399999999999983,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
283,-2.3599999999999937,350,0.0,PREY_WIN,1,0,99.48999999999998,0.0,0.0
284,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
285,30.049999999999997,192,0.0,PREDATOR_WIN,0,1,0.0,38.930000000000234,0.0
286,-2.249999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
287,30.009999999999994,196,0.0,PREDATOR_WIN,0,1,0.0,32.450000000000244,0.0
288,31.66749999999999,7,0.0,PREDATOR_WIN,0,1,0.0,100.0,0.0
289,-2.3299999999999943,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
290,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
291,-2.4499999999999917,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
292,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
293,-2.289999999999995,350,0.0,PREY_WIN,1,0,97.71999999999991,0.0,0.0
294,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
295,-2.339999999999994,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
296,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
297,-2.4599999999999915,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
298,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
299,-2.259999999999996,350,0.0,PREY_WIN,1,0,98.25999999999993,0.0,0.0
300,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
301,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
302,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
303,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
304,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
305,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
306,-2.259999999999996,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
307,-2.3199999999999945,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
308,-2.339999999999994,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
309,-2.3599999999999937,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
310,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
311,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
312,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
313,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
